fixture,kind,screen_pass,runtime,operation,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements,nonzero_distribution
synthetic_31x31,synthetic_candidate,True,numpy,sf,0,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,0,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,0,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,1,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,1,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,1,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,2,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,2,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,sf,2,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,0,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,0,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,0,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,1,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,1,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,1,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,2,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,2,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,numpy,spec,2,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,0,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,0,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,0,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,1,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,1,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,1,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,2,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,2,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,sf,2,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,0,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,0,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,0,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,1,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,1,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,1,3,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,2,1,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,2,2,0.0,0.0,0,0,961,{}
synthetic_31x31,synthetic_candidate,True,matched_pyfftw,spec,2,3,0.0,0.0,0,0,961,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,0,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,0,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,0,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,1,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,1,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,1,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,2,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,2,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,sf,2,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,0,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,0,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,0,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,1,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,1,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,1,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,2,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,2,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,numpy,spec,2,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,0,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,0,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,0,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,1,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,1,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,1,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,2,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,2,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,sf,2,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,0,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,0,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,0,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,1,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,1,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,1,3,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,2,1,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,2,2,0.0,0.0,0,0,1488,{}
synthetic_31x48,synthetic_candidate,True,matched_pyfftw,spec,2,3,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,0,1,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,0,2,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,0,3,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,1,1,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,1,2,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,1,3,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,2,1,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,2,2,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,sf,2,3,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,spec,0,1,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,spec,0,2,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,spec,0,3,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,spec,1,1,0.0,0.0,0,0,1488,{}
synthetic_48x31,synthetic_candidate,True,numpy,spec,1,2,0.0,0.0,0,0,1488,{}
