path,fixture,operation,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements
A,primitives_16x18,sf,0,1,0.0,0.0,0,0,288
A,primitives_16x18,sf,0,2,0.0,0.0,0,0,288
A,primitives_16x18,sf,0,3,0.0,0.0,0,0,288
B,primitives_16x18,sf,0,1,0.0,0.0,0,0,288
B,primitives_16x18,sf,0,2,0.0,0.0,0,0,288
B,primitives_16x18,sf,0,3,0.0,0.0,0,0,288
C,primitives_16x18,sf,0,1,0.0,0.0,0,0,288
C,primitives_16x18,sf,0,2,0.0,0.0,0,0,288
C,primitives_16x18,sf,0,3,0.0,0.0,0,0,288
D,primitives_16x18,sf,0,1,0.0,0.0,0,0,288
D,primitives_16x18,sf,0,2,0.0,0.0,0,0,288
D,primitives_16x18,sf,0,3,0.0,0.0,0,0,288
A,primitives_16x18,sf,1,1,0.0,0.0,0,0,288
A,primitives_16x18,sf,1,2,0.0,0.0,0,0,288
A,primitives_16x18,sf,1,3,0.0,0.0,0,0,288
B,primitives_16x18,sf,1,1,0.0,0.0,0,0,288
B,primitives_16x18,sf,1,2,0.0,0.0,0,0,288
B,primitives_16x18,sf,1,3,0.0,0.0,0,0,288
C,primitives_16x18,sf,1,1,0.0,0.0,0,0,288
C,primitives_16x18,sf,1,2,0.0,0.0,0,0,288
C,primitives_16x18,sf,1,3,0.0,0.0,0,0,288
D,primitives_16x18,sf,1,1,0.0,0.0,0,0,288
D,primitives_16x18,sf,1,2,0.0,0.0,0,0,288
D,primitives_16x18,sf,1,3,0.0,0.0,0,0,288
A,primitives_16x18,sf,2,1,0.0,0.0,0,0,288
A,primitives_16x18,sf,2,2,0.0,0.0,0,0,288
A,primitives_16x18,sf,2,3,0.0,0.0,0,0,288
B,primitives_16x18,sf,2,1,0.0,0.0,0,0,288
B,primitives_16x18,sf,2,2,0.0,0.0,0,0,288
B,primitives_16x18,sf,2,3,0.0,0.0,0,0,288
C,primitives_16x18,sf,2,1,0.0,0.0,0,0,288
C,primitives_16x18,sf,2,2,0.0,0.0,0,0,288
C,primitives_16x18,sf,2,3,0.0,0.0,0,0,288
D,primitives_16x18,sf,2,1,0.0,0.0,0,0,288
D,primitives_16x18,sf,2,2,0.0,0.0,0,0,288
D,primitives_16x18,sf,2,3,0.0,0.0,0,0,288
A,primitives_16x18,spec,0,1,0.0,0.0,0,0,288
A,primitives_16x18,spec,0,2,0.0,0.0,0,0,288
A,primitives_16x18,spec,0,3,0.0,0.0,0,0,288
B,primitives_16x18,spec,0,1,0.0,0.0,0,0,288
B,primitives_16x18,spec,0,2,0.0,0.0,0,0,288
B,primitives_16x18,spec,0,3,0.0,0.0,0,0,288
C,primitives_16x18,spec,0,1,0.0,0.0,0,0,288
C,primitives_16x18,spec,0,2,0.0,0.0,0,0,288
C,primitives_16x18,spec,0,3,0.0,0.0,0,0,288
D,primitives_16x18,spec,0,1,0.0,0.0,0,0,288
D,primitives_16x18,spec,0,2,0.0,0.0,0,0,288
D,primitives_16x18,spec,0,3,0.0,0.0,0,0,288
A,primitives_16x18,spec,1,1,0.0,0.0,0,0,288
A,primitives_16x18,spec,1,2,0.0,0.0,0,0,288
A,primitives_16x18,spec,1,3,0.0,0.0,0,0,288
B,primitives_16x18,spec,1,1,0.0,0.0,0,0,288
B,primitives_16x18,spec,1,2,0.0,0.0,0,0,288
B,primitives_16x18,spec,1,3,0.0,0.0,0,0,288
C,primitives_16x18,spec,1,1,0.0,0.0,0,0,288
C,primitives_16x18,spec,1,2,0.0,0.0,0,0,288
C,primitives_16x18,spec,1,3,0.0,0.0,0,0,288
D,primitives_16x18,spec,1,1,0.0,0.0,0,0,288
D,primitives_16x18,spec,1,2,0.0,0.0,0,0,288
D,primitives_16x18,spec,1,3,0.0,0.0,0,0,288
A,primitives_16x18,spec,2,1,0.0,0.0,0,0,288
A,primitives_16x18,spec,2,2,0.0,0.0,0,0,288
A,primitives_16x18,spec,2,3,0.0,0.0,0,0,288
B,primitives_16x18,spec,2,1,0.0,0.0,0,0,288
B,primitives_16x18,spec,2,2,0.0,0.0,0,0,288
B,primitives_16x18,spec,2,3,0.0,0.0,0,0,288
C,primitives_16x18,spec,2,1,0.0,0.0,0,0,288
C,primitives_16x18,spec,2,2,0.0,0.0,0,0,288
C,primitives_16x18,spec,2,3,0.0,0.0,0,0,288
D,primitives_16x18,spec,2,1,0.0,0.0,0,0,288
D,primitives_16x18,spec,2,2,0.0,0.0,0,0,288
D,primitives_16x18,spec,2,3,0.0,0.0,0,0,288
A,primitives_5x7,sf,0,1,0.0,0.0,0,0,35
A,primitives_5x7,sf,0,2,0.0,0.0,0,0,35
A,primitives_5x7,sf,0,3,0.0,0.0,0,0,35
B,primitives_5x7,sf,0,1,0.0,0.0,0,0,35
B,primitives_5x7,sf,0,2,0.0,0.0,0,0,35
B,primitives_5x7,sf,0,3,0.0,0.0,0,0,35
C,primitives_5x7,sf,0,1,0.0,0.0,0,0,35
C,primitives_5x7,sf,0,2,0.0,0.0,0,0,35
C,primitives_5x7,sf,0,3,0.0,0.0,0,0,35
D,primitives_5x7,sf,0,1,0.0,0.0,0,0,35
D,primitives_5x7,sf,0,2,0.0,0.0,0,0,35
D,primitives_5x7,sf,0,3,0.0,0.0,0,0,35
A,primitives_5x7,sf,1,1,0.0,0.0,0,0,35
A,primitives_5x7,sf,1,2,0.0,0.0,0,0,35
A,primitives_5x7,sf,1,3,0.0,0.0,0,0,35
B,primitives_5x7,sf,1,1,0.0,0.0,0,0,35
