runtime,fixture,operation,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements,category,causal_sources,propagation
numpy,primitives_5x7,spec,0,3,77.0,32.857142857142854,34,0,35,A,3,direct
numpy,primitives_5x7,spec,1,3,74.0,31.742857142857144,34,0,35,A,3,direct
numpy,primitives_5x7,spec,2,1,4.0,2.8285714285714287,34,0,35,A,3,set-wide rescaling from degenerate source
numpy,primitives_5x7,spec,2,2,4.0,2.8285714285714287,34,0,35,A,3,set-wide rescaling from degenerate source
numpy,primitives_5x7,spec,2,3,89.0,36.97142857142857,35,0,35,A,3,direct
numpy,primitives_5x8,sf,0,3,255.0,123.8,31,0,40,B,3,direct
numpy,primitives_5x8,sf,1,1,57.0,25.25,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,sf,1,2,56.0,24.625,39,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,sf,1,3,255.0,132.075,39,0,40,B,3,direct
numpy,primitives_5x8,sf,2,1,214.0,108.275,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,sf,2,2,233.0,138.675,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,sf,2,3,255.0,132.2,35,0,40,B,3,direct
numpy,primitives_5x8,spec,0,3,91.0,30.6,40,0,40,A,3,direct
numpy,primitives_5x8,spec,1,3,103.0,34.35,40,0,40,A,3,direct
numpy,primitives_5x8,spec,2,1,1.0,0.7,28,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,spec,2,2,1.0,0.725,29,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_5x8,spec,2,3,104.0,35.0,39,0,40,A,3,direct
numpy,primitives_6x8,spec,0,2,4.0,2.6458333333333335,41,0,48,A,"2,3",direct
numpy,primitives_6x8,spec,0,3,98.0,30.270833333333332,48,0,48,A,"2,3",direct
numpy,primitives_6x8,spec,1,1,4.0,1.9166666666666667,45,0,48,A,"2,3",set-wide rescaling from degenerate source
numpy,primitives_6x8,spec,1,2,7.0,3.0625,45,0,48,A,"2,3",direct
numpy,primitives_6x8,spec,1,3,95.0,29.666666666666668,48,0,48,A,"2,3",direct
numpy,primitives_6x8,spec,2,1,3.0,1.5833333333333333,41,0,48,A,"2,3",set-wide rescaling from degenerate source
numpy,primitives_6x8,spec,2,2,7.0,3.375,45,0,48,A,"2,3",direct
numpy,primitives_6x8,spec,2,3,107.0,32.833333333333336,47,0,48,A,"2,3",direct
numpy,primitives_8x5,sf,0,3,4.0,2.05,28,0,40,B,3,direct
numpy,primitives_8x5,sf,1,1,4.0,3.275,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,sf,1,2,4.0,3.15,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,sf,1,3,7.0,3.125,31,0,40,B,3,direct
numpy,primitives_8x5,sf,2,1,2.0,1.3,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,sf,2,2,2.0,1.475,40,0,40,B,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,sf,2,3,6.0,2.025,24,0,40,B,3,direct
numpy,primitives_8x5,spec,0,3,110.0,45.35,40,0,40,A,3,direct
numpy,primitives_8x5,spec,1,1,1.0,0.4,16,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,spec,1,2,1.0,0.3,12,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,spec,1,3,113.0,45.675,40,0,40,A,3,direct
numpy,primitives_8x5,spec,2,1,8.0,4.3,39,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,spec,2,2,9.0,4.05,37,0,40,A,3,set-wide rescaling from degenerate source
numpy,primitives_8x5,spec,2,3,118.0,48.7,40,0,40,A,3,direct
fftw_c2c_transposed,primitives_5x7,spec,0,3,9.0,3.5142857142857142,30,0,35,A,3,direct
fftw_c2c_transposed,primitives_5x7,spec,1,3,9.0,3.5142857142857142,33,0,35,A,3,direct
fftw_c2c_transposed,primitives_5x7,spec,2,1,2.0,1.7428571428571429,34,0,35,A,3,set-wide rescaling from degenerate source
fftw_c2c_transposed,primitives_5x7,spec,2,2,2.0,1.5714285714285714,33,0,35,A,3,set-wide rescaling from degenerate source
fftw_c2c_transposed,primitives_5x7,spec,2,3,12.0,4.228571428571429,32,0,35,A,3,direct
fftw_r2c_transposed,primitives_5x7,spec,0,3,9.0,3.5142857142857142,30,0,35,A,3,direct
fftw_r2c_transposed,primitives_5x7,spec,1,3,9.0,3.5142857142857142,33,0,35,A,3,direct
fftw_r2c_transposed,primitives_5x7,spec,2,1,2.0,1.7428571428571429,34,0,35,A,3,set-wide rescaling from degenerate source
fftw_r2c_transposed,primitives_5x7,spec,2,2,2.0,1.5714285714285714,33,0,35,A,3,set-wide rescaling from degenerate source
fftw_r2c_transposed,primitives_5x7,spec,2,3,12.0,4.228571428571429,32,0,35,A,3,direct
